2007	04	7
2007	05	10
2007	06	1
2007	07	3
2007	09	6
2007	10	2
2008	02	1
2008	03	3
2008	04	2
2008	05	9
2008	06	9
2008	07	3
2008	08	8
2008	09	3
2008	10	4
2008	11	5
2008	12	3
2009	01	14
2009	02	3
2009	03	7
2009	04	9
2009	05	8
2009	06	4
2009	12	6
2010	01	13
2010	02	8
2010	03	22
2010	04	15
2010	05	20
2010	06	13
2010	07	24
2010	08	14
2010	09	17
2010	10	36
2010	11	50
2010	12	39
2011	01	27
2011	02	20
2011	03	19
2011	04	37
2011	05	41
2011	06	20
2011	07	36
2011	08	22
2011	09	23
2011	10	22
2011	11	26
2011	12	30
2012	01	19
2012	02	16
2012	03	32
2012	04	21
2012	05	36
2012	06	72
2012	07	15
2012	08	27
2012	09	78
2012	10	21
2012	11	22
2012	12	18
2013	01	38
2013	02	44
2013	03	19
2013	04	30
2013	05	23
2013	06	19
2013	07	24
2013	08	35
2013	09	38
2013	10	65
2013	11	89
2013	12	44
2014	01	28
2014	02	14
2014	03	53
2014	04	28
2014	05	64
